,price,proc_cores,proc_speed,mem_type,mem_cap,num_USB,storage_type,storage_cap,graphics,form,brand
196,309,4.0,3.1,ddr3,8.0,4.0,ssd,120.0,INTEGRATED,SMALL,DELL
197,391,4.0,3.1,ddr3,8.0,4.0,hdd,1024.0,INTEGRATED,TOWER,DELL
199,404,4.0,2.9,ddr3,8.0,8.0,ssd,128.0,INTEGRATED,SMALL,HP
202,854,4.0,3.0,ddr4,8.0,6.0,ssd,256.0,INTEGRATED,SMALL,LENOVO
205,649,4.0,1.7,ddr4,8.0,3.0,ssd,128.0,INTEGRATED,SMALL,LENOVO
207,577,2.0,3.1,ddr4,8.0,3.0,ssd,128.0,INTEGRATED,SMALL,LENOVO
208,689,4.0,1.7,ddr4,8.0,3.0,hdd,1024.0,INTEGRATED,SMALL,LENOVO
209,587,2.0,3.1,ddr4,8.0,3.0,hdd,1024.0,INTEGRATED,SMALL,LENOVO
210,715,4.0,1.7,ddr4,8.0,3.0,ssd,256.0,INTEGRATED,SMALL,LENOVO
211,840,4.0,2.1,ddr3,8.0,8.0,ssd,256.0,INTEGRATED,SMALL,LENOVO
214,194,4.0,2.0,ddr3,8.0,8.0,hdd,500.0,INTEGRATED,SMALL,HP
223,243,4.0,3.4,ddr3,8.0,8.0,ssd,360.0,NVIDIA,SMALL,HP
224,279,4.0,3.2,ddr3,8.0,8.0,hdd,2048.0,INTEGRATED,SMALL,HP
225,329,4.0,3.2,ddr3,12.0,8.0,ssd,360.0,INTEGRATED,SMALL,HP
247,249,4.0,3.1,ddr3,8.0,8.0,hdd,2048.0,INTEGRATED,SMALL,HP
250,331,6.0,2.8,ddr3,8.0,8.0,ssd,360.0,INTEGRATED,SMALL,HP
252,337,4.0,3.2,ddr3,12.0,8.0,ssd,2048.0,INTEGRATED,SMALL,HP
260,337,4.0,3.2,ddr3,16.0,8.0,hdd,2048.0,INTEGRATED,SMALL,HP
261,249,4.0,3.1,ddr3,8.0,8.0,ssd,500.0,INTEGRATED,TOWER,HP
264,359,4.0,3.2,ddr3,16.0,8.0,ssd,1024.0,INTEGRATED,SMALL,HP
266,325,4.0,3.2,ddr3,16.0,8.0,ssd,1024.0,INTEGRATED,TOWER,HP
268,249,4.0,3.1,ddr3,8.0,8.0,hdd,2048.0,INTEGRATED,TOWER,HP
269,304,4.0,3.2,ddr3,8.0,8.0,ssd,360.0,INTEGRATED,SMALL,HP
275,236,2.0,3.4,ddr3,12.0,8.0,hdd,1024.0,INTEGRATED,SMALL,HP
276,402,4.0,3.2,ddr3,16.0,8.0,ssd,3072.0,INTEGRATED,SMALL,HP
277,234,2.0,3.3,ddr3,8.0,8.0,ssd,120.0,INTEGRATED,SMALL,HP
279,316,2.0,3.4,ddr3,8.0,8.0,ssd,1024.0,INTEGRATED,SMALL,HP
281,392,4.0,3.1,ddr3,8.0,8.0,ssd,1024.0,INTEGRATED,SMALL,HP
282,202,2.0,3.3,ddr3,12.0,8.0,hdd,1024.0,INTEGRATED,SMALL,HP
283,275,4.0,3.1,ddr3,12.0,8.0,ssd,240.0,INTEGRATED,TOWER,HP
287,301,4.0,2.9,ddr3,8.0,8.0,ssd,240.0,INTEGRATED,SMALL,HP
290,396,4.0,3.2,ddr3,8.0,8.0,ssd,360.0,INTEGRATED,TOWER,HP
292,239,2.0,3.1,ddr3,8.0,8.0,hdd,2048.0,INTEGRATED,SMALL,HP
298,429,4.0,3.1,ddr3,8.0,8.0,ssd,512.0,INTEGRATED,TOWER,HP
302,298,4.0,3.1,ddr3,12.0,8.0,ssd,240.0,INTEGRATED,TOWER,HP
304,254,4.0,3.1,ddr3,12.0,8.0,hdd,1024.0,INTEGRATED,TOWER,HP
306,403,4.0,3.1,ddr3,8.0,8.0,ssd,512.0,INTEGRATED,TOWER,HP
309,356,4.0,3.2,ddr3,12.0,8.0,ssd,360.0,INTEGRATED,SMALL,HP
312,334,4.0,3.2,ddr3,16.0,8.0,hdd,3072.0,INTEGRATED,TOWER,HP
313,321,2.0,3.1,ddr3,8.0,8.0,ssd,500.0,INTEGRATED,SMALL,HP
314,327,4.0,3.2,ddr3,8.0,8.0,ssd,360.0,INTEGRATED,SMALL,HP
317,257,2.0,3.4,ddr3,12.0,8.0,ssd,240.0,INTEGRATED,SMALL,HP
319,367,4.0,3.1,ddr3,16.0,8.0,ssd,3072.0,INTEGRATED,SMALL,HP
340,257,2.0,3.4,ddr3,12.0,8.0,hdd,3072.0,INTEGRATED,SMALL,HP
341,339,4.0,3.1,ddr3,16.0,8.0,ssd,3072.0,INTEGRATED,SMALL,HP
342,448,4.0,3.2,ddr3,16.0,8.0,ssd,360.0,INTEGRATED,TOWER,HP
347,369,4.0,3.1,ddr3,16.0,8.0,ssd,3072.0,INTEGRATED,TOWER,HP
349,359,4.0,3.2,ddr3,16.0,8.0,hdd,3072.0,INTEGRATED,SMALL,HP
351,269,4.0,3.1,ddr3,8.0,8.0,ssd,1024.0,INTEGRATED,TOWER,HP
355,326,4.0,3.2,ddr3,8.0,8.0,ssd,360.0,INTEGRATED,TOWER,HP
357,257,4.0,3.1,ddr3,8.0,8.0,ssd,500.0,INTEGRATED,TOWER,HP
360,272,2.0,3.3,ddr3,16.0,8.0,hdd,2048.0,INTEGRATED,SMALL,HP
368,287,2.0,3.4,ddr3,12.0,8.0,ssd,512.0,INTEGRATED,SMALL,HP
369,409,4.0,3.2,ddr3,12.0,8.0,ssd,360.0,INTEGRATED,SMALL,HP
371,380,4.0,3.2,ddr3,8.0,8.0,hdd,2048.0,INTEGRATED,SMALL,HP
375,319,4.0,3.1,ddr3,16.0,8.0,hdd,2048.0,INTEGRATED,SMALL,HP
378,256,4.0,3.2,ddr3,8.0,8.0,hdd,2048.0,INTEGRATED,SMALL,HP
379,369,4.0,3.2,ddr3,16.0,8.0,ssd,360.0,INTEGRATED,SMALL,HP
382,305,4.0,3.2,ddr3,12.0,8.0,ssd,2048.0,INTEGRATED,SMALL,HP
386,287,4.0,3.2,ddr3,8.0,8.0,hdd,3072.0,INTEGRATED,SMALL,HP
401,284,4.0,3.2,ddr3,8.0,8.0,ssd,2048.0,INTEGRATED,SMALL,HP
403,278,2.0,3.3,ddr3,8.0,8.0,ssd,360.0,INTEGRATED,SMALL,HP
405,351,4.0,2.5,ddr3,8.0,8.0,ssd,360.0,INTEGRATED,SMALL,HP
406,348,2.0,3.4,ddr3,8.0,8.0,ssd,360.0,INTEGRATED,SMALL,HP
413,265,4.0,3.1,ddr3,8.0,8.0,ssd,2048.0,INTEGRATED,TOWER,HP
414,278,2.0,3.3,ddr3,12.0,8.0,ssd,360.0,INTEGRATED,SMALL,HP
417,348,4.0,3.2,ddr3,12.0,8.0,ssd,2048.0,INTEGRATED,TOWER,HP
419,399,4.0,3.2,ddr3,16.0,8.0,ssd,3072.0,INTEGRATED,SMALL,HP
420,239,2.0,3.3,ddr3,8.0,8.0,ssd,500.0,INTEGRATED,SMALL,HP
421,371,2.0,3.3,ddr3,8.0,8.0,ssd,240.0,INTEGRATED,SMALL,HP
424,297,4.0,3.1,ddr3,16.0,8.0,hdd,2048.0,INTEGRATED,SMALL,HP
426,345,4.0,3.2,ddr3,8.0,8.0,ssd,240.0,INTEGRATED,TOWER,HP
429,261,4.0,3.1,ddr3,12.0,8.0,hdd,1024.0,INTEGRATED,SMALL,HP
430,266,4.0,3.1,ddr3,8.0,8.0,hdd,2048.0,INTEGRATED,TOWER,HP
433,290,2.0,3.1,ddr3,8.0,8.0,ssd,240.0,INTEGRATED,SMALL,HP
435,265,4.0,3.1,ddr3,8.0,8.0,ssd,360.0,INTEGRATED,SMALL,HP
438,373,4.0,3.1,ddr3,16.0,8.0,ssd,3072.0,INTEGRATED,TOWER,HP
441,249,4.0,3.1,ddr3,8.0,8.0,ssd,2048.0,INTEGRATED,SMALL,HP
443,229,2.0,3.1,ddr3,8.0,8.0,ssd,240.0,INTEGRATED,SMALL,HP
445,234,2.0,3.3,ddr3,12.0,8.0,hdd,1024.0,INTEGRATED,SMALL,HP
446,355,4.0,3.2,ddr3,16.0,8.0,ssd,2048.0,INTEGRATED,SMALL,HP
449,299,4.0,3.1,ddr3,16.0,8.0,hdd,2048.0,INTEGRATED,TOWER,HP
453,278,4.0,3.2,ddr3,12.0,8.0,hdd,2048.0,INTEGRATED,SMALL,HP
460,223,4.0,3.4,ddr3,8.0,8.0,hdd,2048.0,NVIDIA,SMALL,HP
462,185,2.0,3.1,ddr3,8.0,8.0,hdd,1024.0,INTEGRATED,SMALL,HP
465,295,2.0,3.3,ddr3,12.0,8.0,ssd,3072.0,INTEGRATED,SMALL,HP
468,334,4.0,3.2,ddr3,8.0,8.0,hdd,3072.0,INTEGRATED,TOWER,HP
469,289,4.0,3.2,ddr3,12.0,8.0,ssd,240.0,INTEGRATED,SMALL,HP
470,394,4.0,3.2,ddr3,12.0,8.0,ssd,512.0,INTEGRATED,SMALL,HP
473,249,4.0,3.1,ddr3,8.0,8.0,ssd,500.0,INTEGRATED,SMALL,HP
475,339,4.0,3.2,ddr3,16.0,8.0,hdd,2048.0,INTEGRATED,TOWER,HP
477,348,4.0,3.2,ddr3,16.0,8.0,hdd,3072.0,INTEGRATED,SMALL,HP
478,327,4.0,3.2,ddr3,12.0,8.0,hdd,2048.0,INTEGRATED,SMALL,HP
480,279,4.0,3.1,ddr3,12.0,8.0,ssd,240.0,INTEGRATED,SMALL,HP
483,300,4.0,3.2,ddr3,12.0,8.0,ssd,360.0,INTEGRATED,SMALL,HP
486,349,4.0,3.2,ddr3,12.0,8.0,ssd,360.0,INTEGRATED,TOWER,HP
489,355,4.0,3.2,ddr3,16.0,8.0,ssd,1024.0,INTEGRATED,TOWER,HP
495,328,4.0,3.2,ddr3,16.0,8.0,ssd,360.0,INTEGRATED,SMALL,HP
496,245,2.0,3.4,ddr3,12.0,8.0,ssd,360.0,INTEGRATED,SMALL,HP
497,409,4.0,3.2,ddr3,8.0,8.0,ssd,512.0,INTEGRATED,TOWER,HP
501,247,2.0,3.4,ddr3,8.0,8.0,ssd,360.0,INTEGRATED,SMALL,HP
502,300,6.0,2.8,ddr3,8.0,8.0,ssd,120.0,INTEGRATED,SMALL,HP
504,239,2.0,3.3,ddr3,16.0,8.0,hdd,3072.0,INTEGRATED,SMALL,HP
507,304,2.0,3.4,ddr3,12.0,8.0,ssd,3072.0,INTEGRATED,SMALL,HP
508,249,4.0,3.1,ddr3,12.0,8.0,hdd,1024.0,INTEGRATED,SMALL,HP
509,275,4.0,2.5,ddr3,8.0,8.0,ssd,120.0,INTEGRATED,SMALL,HP
510,334,2.0,3.3,ddr3,8.0,8.0,hdd,2048.0,INTEGRATED,SMALL,HP
512,219,2.0,3.1,ddr3,8.0,8.0,hdd,2048.0,INTEGRATED,SMALL,HP
513,240,2.0,3.4,ddr3,8.0,8.0,ssd,240.0,INTEGRATED,SMALL,HP
515,421,4.0,3.2,ddr3,16.0,8.0,ssd,3072.0,INTEGRATED,TOWER,HP
523,366,4.0,3.2,ddr3,16.0,8.0,ssd,360.0,INTEGRATED,TOWER,HP
525,269,4.0,3.1,ddr3,8.0,8.0,ssd,360.0,INTEGRATED,TOWER,HP
535,417,4.0,3.1,ddr3,8.0,8.0,hdd,1024.0,INTEGRATED,SMALL,DELL
544,239,4.0,3.2,ddr3,8.0,8.0,ssd,128.0,INTEGRATED,SMALL,LENOVO
545,169,4.0,3.2,ddr3,8.0,8.0,hdd,500.0,INTEGRATED,SMALL,LENOVO
546,164,4.0,3.2,ddr3,6.0,8.0,hdd,250.0,INTEGRATED,SMALL,LENOVO
547,147,4.0,3.2,ddr3,4.0,8.0,hdd,250.0,INTEGRATED,SMALL,LENOVO
548,749,4.0,2.8,ddr4,8.0,6.0,hdd,1024.0,INTEGRATED,TOWER,LENOVO
549,754,4.0,2.8,ddr4,8.0,6.0,hdd,1024.0,INTEGRATED,SMALL,LENOVO
557,979,6.0,2.8,ddr3,16.0,8.0,ssd,1024.0,NVIDIA,SMALL,DELL
559,149,4.0,3.1,ddr3,8.0,8.0,hdd,500.0,INTEGRATED,SMALL,HP
560,144,4.0,3.2,ddr3,8.0,8.0,hdd,500.0,INTEGRATED,SMALL,LENOVO
561,759,4.0,2.2,ddr3,8.0,8.0,ssd,256.0,NVIDIA,SMALL,DELL
562,119,2.0,3.4,ddr3,4.0,8.0,hdd,250.0,INTEGRATED,SMALL,HP
563,104,4.0,3.2,ddr3,4.0,8.0,hdd,250.0,INTEGRATED,SMALL,HP
564,219,4.0,3.2,ddr3,8.0,8.0,hdd,500.0,INTEGRATED,SMALL,LENOVO
567,720,4.0,2.8,ddr4,8.0,4.0,hdd,1024.0,NVIDIA,SMALL,DELL
578,962,6.0,3.6,ddr4,8.0,3.0,hdd,1024.0,AMD,TOWER,HP
591,240,4.0,3.1,ddr3,4.0,2.0,hdd,1024.0,AMD,SMALL,DELL
592,524,4.0,3.1,ddr4,8.0,8.0,hdd,1024.0,AMD,TOWER,DELL
593,351,2.0,3.1,ddr4,4.0,8.0,hdd,1024.0,INTEGRATED,SMALL,DELL
594,178,2.0,3.1,ddr3,2.0,2.0,hdd,1024.0,INTEGRATED,SMALL,DELL
595,275,2.0,3.1,ddr3,4.0,2.0,hdd,1024.0,AMD,SMALL,DELL
596,319,2.0,3.1,ddr3,8.0,2.0,hdd,1024.0,INTEGRATED,SMALL,DELL
599,159,4.0,3.2,ddr3,4.0,8.0,hdd,500.0,INTEGRATED,SMALL,LENOVO
600,99,2.0,3.3,ddr3,4.0,8.0,hdd,250.0,INTEGRATED,SMALL,HP
603,674,4.0,2.7,ddr4,4.0,6.0,hdd,500.0,INTEGRATED,SMALL,LENOVO
606,489,4.0,3.0,ddr4,8.0,3.0,hdd,1024.0,INTEGRATED,SMALL,HP
607,499,4.0,3.0,ddr4,8.0,8.0,ssd,2048.0,INTEGRATED,SMALL,HP
608,122,1.0,2.6,ddr3,4.0,8.0,hdd,250.0,INTEGRATED,SMALL,LENOVO
609,93,1.0,2.6,ddr3,4.0,8.0,hdd,320.0,INTEGRATED,SMALL,LENOVO
610,259,4.0,3.2,ddr3,8.0,8.0,hdd,500.0,INTEGRATED,SMALL,HP
611,209,4.0,3.2,ddr3,4.0,8.0,hdd,500.0,INTEGRATED,TOWER,LENOVO
612,405,4.0,3.0,ddr3,8.0,8.0,hdd,1024.0,INTEGRATED,SMALL,HP
615,92,2.0,3.0,ddr3,4.0,8.0,hdd,160.0,INTEGRATED,TOWER,LENOVO
616,154,4.0,3.2,ddr3,4.0,8.0,hdd,250.0,INTEGRATED,TOWER,HP
617,118,4.0,3.2,ddr3,4.0,8.0,hdd,250.0,INTEGRATED,SMALL,LENOVO
618,123,4.0,3.1,ddr3,4.0,8.0,hdd,500.0,INTEGRATED,SMALL,HP
619,124,4.0,3.1,ddr3,4.0,8.0,hdd,250.0,INTEGRATED,SMALL,HP
620,129,2.0,3.1,ddr3,4.0,8.0,hdd,250.0,INTEGRATED,SMALL,HP
621,395,6.0,3.6,ddr3,8.0,8.0,hdd,500.0,INTEGRATED,TOWER,HP
